"","hour","minute","angle_day"
"1",3,9,0.824668071567321
"2",9,30,2.48709418409192
"3",6,1,1.57515964992488
"4",12,9,3.18086256175967
"5",18,17,4.78656547359445
"6",2,46,0.724311639577647
"7",18,20,4.79965544298441
"8",23,55,6.26136869152966
"9",6,45,1.76714586764426
"10",1,31,0.39706240482871
"11",21,51,5.72031662341142
"12",21,27,5.61559686829175
"13",22,25,5.86866960983093
"14",3,12,0.837758040957278
"15",0,20,0.0872664625997165
"16",10,27,2.73580360250111
"17",17,15,4.51603943953533
"18",2,19,0.60650191506803
"19",14,45,3.86154097003745
"20",2,19,0.60650191506803
"21",16,14,4.24987672860619
"22",21,6,5.52396708256205
"23",18,26,4.82583538176432
"24",9,30,2.48709418409192
"25",10,18,2.69653369433124
"26",20,30,5.36688744988256
"27",3,31,0.920661180427009
"28",0,43,0.18762289458939
"29",7,27,1.95040543910366
"30",4,8,1.08210413623648
"31",21,50,5.71595330028143
"32",19,50,5.19235452468313
"33",4,42,1.230457122656
"34",23,35,6.17410222892994
"35",2,6,0.549778714378214
"36",11,54,3.11541271480988
"37",17,28,4.57276264022514
"38",17,8,4.48549617762543
"39",18,19,4.79529211985442
"40",9,29,2.48273086096193
"41",21,44,5.68977336150151
"42",21,22,5.59378025264183
"43",9,26,2.46964089157198
"44",12,44,3.33357887130917
"45",22,49,5.97338936495059
"46",19,50,5.19235452468313
"47",21,9,5.53705705195201
"48",6,42,1.7540558982543
"49",20,11,5.28398431041283
"50",0,1,0.00436332312998582
"51",21,9,5.53705705195201
"52",5,37,1.47043989480522
"53",19,14,5.03527489200364
"54",1,20,0.349065850398866
"55",8,47,2.29947128950253
"56",20,42,5.41924732744239
"57",1,35,0.414515697348653
"58",5,47,1.51407312610508
"59",16,12,4.24115008234622
"60",20,11,5.28398431041283
"61",21,48,5.70722665402146
"62",20,46,5.43670061996234
"63",1,54,0.497418836818384
"64",18,50,4.93055513688398
"65",19,14,5.03527489200364
"66",20,38,5.40179403492245
"67",21,37,5.65923009959161
"68",1,10,0.305432619099008
"69",1,45,0.458148928648512
"70",20,25,5.34507083423263
"71",2,15,0.589048622548086
"72",19,35,5.12690467773334
"73",22,52,5.98647933434055
"74",2,39,0.693768377667746
"75",5,32,1.44862327915529
"76",1,52,0.488692190558412
"77",2,19,0.60650191506803
"78",19,8,5.00909495322373
"79",19,34,5.12254135460336
"80",19,7,5.00473163009374
"81",9,13,2.41291769088216
"82",7,41,2.01149196292346
"83",18,40,4.88692190558412
"84",17,59,4.7080256572547
"85",5,43,1.49661983358514
